Time,camera_id,best_confidence,best_region,best_region_confidence,country,is_parked,frame_start,frame_end,epoch_start,epoch_end,best_uuid,travel_direction,vehicle-make-name,vehicle-make-confidence,vehicle-make_model-name,vehicle-make_model-confidence,vehicle-body_type-name,vehicle-body_type-confidence,vehicle-color-name,vehicle-color-confidence
2022-09-02 05:56:45,221388142,93.79777527,us-in,99,us,FALSE,639111,639160,1662123400395,1662123402022,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123401972,133.9604797,chevrolet,0,ford_f-150,0,tractor-trailer,78.90195465,black,0
2022-09-02 05:56:56,221388142,93.9385376,us-ca,99,us,FALSE,639445,639483,1662123411546,1662123412814,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123412345,133.2131653,nissan,0,nissan_march,0,tractor-trailer,44.94510269,black,0
2022-09-02 05:57:08,221388142,93.82357025,us-ne,96.42105103,us,FALSE,639775,639855,1662123422527,1662123425192,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123424898,136.7796021,honda,0,honda_civic,0,truck-standard,51.35713196,black,0
2022-09-02 05:59:27,221388142,94.57053375,us-ca,99,us,FALSE,643933,644008,1662123561144,1662123563640,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123563181,126.0881042,freightliner,32.79845428,mercedes-benz_lkw,35.00496292,tractor-trailer,99.99027252,blue,63.13211823
2022-09-02 05:59:37,221388142,94.07376862,us-in,99,us,FALSE,644271,644300,1662123572399,1662123573387,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123573237,136.3308716,isuzu,50.56503296,peugeot_3008,67.527565,tractor-trailer,99.99707031,white,98.41127014
2022-09-02 05:59:37,221388142,93.71981049,us-ri,71,us,FALSE,644307,644320,1662123573597,1662123574046,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123574046,133.0112305,hyundai,29.8511467,audi_q5,6.084915638,bus-commericial,49.79296494,white,99.96818542
2022-09-02 06:11:00,221388142,93.86261749,us-ca,97.19230652,us,FALSE,664681,664795,1662124252764,1662124256572,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662124256453,132.6164551,kenworth,81.60009766,ford_f-350,57.88064575,tractor-trailer,99.99874878,white,99.50148773
2022-09-02 06:11:16,221388142,93.82024384,us-ca,97.95652008,us,FALSE,665072,665279,1662124265795,1662124272692,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662124271394,133.4405212,volvo,94.14622498,audi_q7,31.92874146,tractor-trailer,99.99432373,blue,99.70101929
2022-09-02 06:11:26,221388142,90.43254852,us-pa,94,us,FALSE,665579,665589,1662124282703,1662124283032,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662124283032,124.177002,kenworth,93.08435822,ford_f-350,47.0626564,tractor-trailer,99.88309479,white,99.78638458
2022-09-02 06:11:27,221388142,93.81197357,us-az,96.375,us,FALSE,665545,665593,1662124281565,1662124283152,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662124282613,128.8091125,kenworth,27.76543427,ford_f-350,23.26512718,tractor-trailer,99.76532745,white,99.76609039
