,CO2_HW,CO2_ p_h,CO2_ p_Area ,CO2 (mg/m3),CO2 (ug/m3),CO2_EF,,acutal T1,, Actual time
212,437.3339634,358.3722211,156728.3438,282046.9173,282046917.3,889387945.8,31015.44764,,31452.7816,
213,28.86614795,361.449372,10433.65105,18776.30455,18776304.55,59207947,31190.83612,,31219.70227,
214,81.56460992,358.9136653,29274.65311,52682.40232,52682402.32,166125175.3,31354.02193,,31435.58654,
215,63.44859269,360.2078567,22854.68159,41129.07934,41129079.34,129693696.9,31569.25828,,31632.70688,
216,63.89427743,359.0037483,22938.2851,41279.53146,41279531.46,130168122.5,31702.71393,,31766.60821,
217,59.98983323,356.9750249,21414.87221,38538.01134,38538011.34,121523195.7,31837.74959,,31897.73942,
218,103.042059,359.288926,37021.87072,66624.22542,66624225.42,210088390.8,32004.653,,32107.69506,
219,45.01374051,356.5121428,16047.94509,28879.73758,28879737.58,91067439.17,32152.74292,,32197.75666,
220,11.0982423,355.1141925,3941.143353,7092.446115,7092446.115,22364846.75,32237.62341,,32248.72165,
221,0.722200232,355.1342798,256.4780591,461.5556074,461555.6074,1455438.682,32244.5,,32245.2222,
222,131.8639049,356.2952151,46982.47836,84549.24532,84549245.32,266611953.6,32416.54912,,32548.41302,
223,60.00823159,358.2014115,21495.03326,38682.26844,38682268.44,121978086.5,32597.58075,,32657.58898,
224,88.76112203,363.6417002,32277.24533,58085.84026,58085840.26,183164016.3,32784.58791,,32873.34903,
225,25.40866488,359.3781612,9131.319262,16432.63998,16432639.98,51817591.4,32919.84737,,32945.25603,
226,79.46263514,362.0775585,28771.63692,51777.17892,51777178.92,163270704.2,33103.61655,,33183.07918,
227,73.0772913,360.2133464,26323.41565,47371.38194,47371381.94,149377757.7,33290.74883,,33363.82613,
228,34.26616599,370.5553405,12697.51081,22850.3262,22850326.2,72054695.28,33461.29691,,33495.56308,
229,168.4012309,368.3044077,62022.91562,111615.8809,111615880.9,351962077.7,33450.50709,,33618.90832,
230,21.13732998,386.6090417,8171.882887,14706.04691,14706046.91,46373067.93,33731.46088,,33752.59821,
231,199.2035627,370.7938077,73863.44751,132923.9955,132923995.5,419153665.9,33689.30395,,33888.50752,
232,43.83241999,360.5835032,15805.24755,28442.98128,28442981.28,89690200.96,33943.85964,,33987.69206,
233,54.13060121,378.1766612,20470.93004,36839.3015,36839301.5,116166597.4,34142.2727,,34196.4033,
234,94.5083756,380.4061477,35951.56709,64698.11665,64698116.65,204014727.8,34247.58881,,34342.09719,
235,9.431441593,365.4163646,3446.4031,6202.116008,6202116.008,19557339.14,34403.52738,,34412.95882,
236,121.5023838,380.6659111,46251.81563,83234.35124,83234351.24,262465654.2,34477.53334,,34599.03573,
237,53.64644798,365.5298425,19609.37768,35288.85964,35288859.64,111277537.4,34786.39098,,34840.03743,
238,75.60076869,363.6698393,27493.7194,49477.45004,49477450.04,156018892.5,34883.03994,,34958.6407,
239,64.82334875,364.9744964,23658.86907,42576.28789,42576287.89,134257227.8,35030.05382,,35094.87717,
240,9.286307807,348.0694104,3232.279684,5816.781435,5816781.435,18342250.79,35164.54144,,35173.82775,
241,38.70235228,354.8445107,13733.31726,24714.35417,24714354.17,77932596.82,35253.92777,,35292.63012,
242,18.14482538,354.0293615,6423.800944,11560.21438,11560214.38,36453209.34,35356.85291,,35374.99774,
243,61.56913566,370.2755549,22797.54587,41026.25841,41026258.41,129369468.2,35489.1765,,35550.74564,
244,135.9990481,366.0790533,49786.40278,89595.16246,89595162.46,282523412.3,35605.46546,,35741.46451,
245,198.0823303,363.7150123,72045.5172,129652.4645,129652464.5,408837438,35873.9297,,36072.01203,
246,62.14457395,366.4704229,22774.1483,40984.15235,40984152.35,129236693.8,35989.45238,,36051.59695,
247,93.26246471,368.7252765,34388.22809,61884.74584,61884745.84,195143231.9,36220.38835,,36313.65081,
248,191.4042808,366.7107731,70190.0118,126313.3137,126313313.7,398307982.4,36384.34702,,36575.7513,
249,53.10566024,376.3502884,19986.33055,35967.22061,35967220.61,113416635.7,36835.36245,,36888.46811,
250,234.0654315,367.6883838,86063.14022,154878.4528,154878452.8,488383387.7,36817.82485,,37051.89028,
251,100.8876622,362.6699857,36588.92701,65845.10382,65845103.82,207631560.7,37232.5841,,37333.47176,
252,58.03448581,360.7011665,20933.10673,37671.03052,37671030.52,118789316.2,37401.11532,,37459.14981,
253,70.4976537,368.9429891,26009.61508,46806.66926,46806669.26,147597030.4,37525.07063,,37595.56829,
254,55.43258524,361.5885402,20043.78758,36070.61977,36070619.77,113742687.7,37658.47275,,37713.90533,
255,2.738079299,363.4699495,995.2095447,1790.970142,1790970.142,5647525.847,37689.79063,,37692.52871,
256,54.15462078,369.5495802,20012.81738,36014.88608,36014886.08,113566940.8,37791.57543,,37845.73005,
257,328.7718622,367.2727069,120748.9318,217298.6912,217298691.2,685215206.1,37888.06048,,38216.83234,
258,7.293047635,382.8362005,2792.042647,5024.534825,5024534.825,15844033.15,37998.80754,,38006.10059,
259,0.61029705,382.8377851,233.644771,420.4650276,420465.0276,1325866.387,38004.5,,38005.1103,
260,27.34544246,383.0613119,10474.98106,18850.68167,18850681.67,59442482.85,38038.5428,,38065.88824,
261,41.35636368,355.4360784,14699.54372,26453.16661,26453166.61,83415652.06,38316.55515,,38357.91152,
262,69.20672896,356.8719263,24697.93868,44446.18822,44446188.22,140153646.8,38415.69086,,38484.89759,
263,95.51374296,376.4126059,35952.57688,64699.93386,64699933.86,204020458.1,38655.42034,,38750.93408,
